Election Location,Office Name,FirstName,LastName,State
Berkeley County,School Board At Large,Cindy,Coats,SC
Aiken County,School Board D8,John,Bradley,SC
Aiken County,School Board D8,Melanie,Pniewski,SC
Anderson County,School Trustee D3 Area 2,Luke,Bouknight,SC
Anderson County,School Trustee D3 Area 2,Michael,Callahan,SC
Anderson County,School Trustee D5 Area 1,Troy,Haguewood,SC
Anderson County,School Trustee D5 Area 1,Julie,Usherwood,SC
Anderson County,School Trustee D5 Area 3,Eddie,Mattison,SC
Anderson County,School Trustee D5 Area 3,Tommy,Price,SC
Anderson County,School Trustee D5 Area 7,William,Dukes,SC
Anderson County,School Trustee D5 Area 7,John,Griffith,SC
Anderson County,School Trustee D5 At Large,Kristina,Harrell-Huskey,SC
Anderson County,School Trustee D5 At Large,Ernest,Mackins,SC
Anderson County,School Trustee D5 At Large,Andrew,Patrick,SC
Anderson County,School Trustee D5 At Large,William,Thompson,SC
Berkeley County,School Board D1,Michael,Ramsey,SC
Berkeley County,School Board D1,Lee,Westberry,SC
Berkeley County,School Board D3,Joe,Baker,SC
Berkeley County,School Board D3,Randy,Smalls,SC
Berkeley County,School Board D5,Angelina,Davenport,SC
Berkeley County,School Board D5,Daniel,Froemel,SC
Berkeley County,School Board D7,Yvonne,Bradley,SC
Berkeley County,School Board D7,Joan,Peters,SC
Charleston County,School Board of Trustees District 4,Kevin,Hollinshead,SC
Charleston County,School Board of Trustees District 4,Craig,Logan,SC
Charleston County,School Board of Trustees District 6,Daron,Calhoun,SC
Charleston County,School Board of Trustees District 6,Suzanne,Leber,SC
Charleston County,School Board of Trustees District 6,Samuel,Whatley,SC
Chester County,School Board D1,Delores,Crockett,SC
Chester County,School Board D1,Tara,Thomas,SC
Chesterfield County,School Board D7,James,Teal,SC
Clarendon County,School Board D1,Kim,Jones,SC
Clarendon County,School Board D1,Falecia,Miller,SC
Clarendon County,School Board D2,John,Bonaparte,SC
Clarendon County,School Board D2,Robert,McFadden,SC
Clarendon County,School Board D2,Loretta,Pollard,SC
Clarendon County,School Board D3,Gregory,Bradley,SC
Clarendon County,School Board D3,Roger,Jowers,SC
Clarendon County,School Board D3,Johnnie,Lawson,SC
Clarendon County,School Board D4,Linda,Lemon,SC
Clarendon County,School Board D4,James,Mahoney,SC
Clarendon County,School Board D4,Shelley,Richburg,SC
Clarendon County,School Board D5,Eleazer,Carter,SC
Clarendon County,School Board D5,Michael,Shorter,SC
Clarendon County,School Board D6,Robert,Fleming,SC
Clarendon County,School Board D6,ROBERT,KOLB,SC
Clarendon County,School Board D6,Kenneth,Lovorn,SC
Clarendon County,School Board D6,Lakisha,Blanding-Samuel,SC
Clarendon County,School Board D7,Amy,Green,SC
Clarendon County,School Board D7,Ronald,Wingard,SC
Clarendon County,School Board D8,Jennifer,Powell,SC
Clarendon County,School Board D8,Darren,Wilson,SC
Clarendon County,School Board D9,William,Land,SC
Clarendon County,School Board D9,Johnny,Wilson,SC
Colleton County,School Board D1,William,Burdick,SC
Colleton County,School Board D1,Charles,Murdaugh,SC
Colleton County,School Board D3,Jalacy,Green,SC
Colleton County,School Board D3,Sharon,Witkin,SC
Bend,City Councilor Pos. 1,Jonathan,Curtis,OR
Bend,City Councilor Pos. 4,Barb,Campbell,OR
Albany,City Councilor W3-B,Marilyn,Smith,OR
Albany,City Councilor W3-B,Bryan,Munson,OR
Lebanon,Council W2,Cordero,Reid,OR
Lebanon,Council W2,David,McClain,OR
Albany,City Councilor W1-B,Courtney,Stubbs,OR
Roseburg,"Council W1, Po 2",Larry,Rich,OR
Roseburg,"Council W1, Po 2",Katie,Williams,OR
Roseburg,"Council W2, Po 2",Steve,Hammerson,OR
Roseburg,"Council W2, Po 2",Andrea,Zielinski,OR
Roseburg,"Council W3, Po 2",Sam,Starns,OR
Roseburg,"Council W4, Po 2",Blake,Mecham,OR
Roseburg,"Council W4, Po 2",Zack,Weiss,OR
Corvallis,Council W6,Brennan,Colberg,OR
Dos Palos School,Trustee Area 6,Laura,Andrews,CA
Merced City School,Trustee Area 2,Audrea,Tuhn,CA
Merced City School,Trustee Area 2,Tsia,Xiong,CA
Atwater,Council D2,Kalisa,Rochester,CA
Atwater,Council D2,Adrian,Lopez-Juarez,CA
Livingston,Council,Rodrigo,Espinosa,CA
Los Banos,Mayor,Refugio,Llamas,CA
Los Banos,Mayor,Paul,Llanez,CA
Merced,Council D1,Darin,DuPont,CA
Merced,Council D3,Mike,Harris,CA
Merced,Council D3,Cindy,Kelly,CA
Merced,Council D5,Sarah,Boyle,CA
Merced,Council D5,Felipe,Rojas-Flores,CA
Golden Valley Unified School District,Trustee Area 5,Rose,Freeman,CA
Golden Valley Unified School District,Trustee Area 5,Steven,Lewis,CA
Madera Unfied School District,Trustee Area 3,Ruben,Mendoza,CA
Madera Unfied School District,Trustee Area 3,Abel,Perez,CA
Yosemite Unfied School District,Trustee Area 4,Bill,Atwood,CA
Chowchilla,Mayor,Josh,Moore,CA
Chowchilla,Mayor,Kelly,Smith,CA
Madera Irrigation District,Director Div. 4,Jim,Erickson,CA
Madera Irrigation District,Director Div. 4,Brandon,Bishel,CA
Sweet Home,Council,Matthew,Bechtel,OR
Rocklin Unified School District,Trustee Area 1,Price,Johnson,CA
Rocklin Unified School District,Trustee Area 3,Jennifer,Kaiser,CA
Madera Irrigation District,Director Div. 5,Mallvinder,Kahal,CA
Yuba City,Council D5,Toni,Cole,CA
Yuba City,Council D5,John,Buckland,CA
Live Oak City,Council,Michelle,Serpa,CA
Live Oak City,Council,Cruz,Mora,CA
Yuba Community College,Trustee Area 4,Juan,Delgado,CA
Yuba Community College,Trustee Area 4,John,Cassidy,CA
Yuba Community College,Trustee Area 7,Douglas,Harris,CA
Yuba Community College,Trustee Area 7,Jeffrey,Dryden,CA
Sutter County Board Of Education,Trustee Area 2,June,McJunkin,CA
Sutter County Board Of Education,Trustee Area 2,Mike,Reid,CA
Live Oak Unified School District,Trustee,Peter-Sean,Hart,CA
Live Oak Unified School District,Trustee,Simren,Pamma,CA
Sweet Home,Council,Dawn,Miller,OR
Marysville,Mayor,Marjorie,Rollins,CA
Marysville,Mayor,Codi,Walker,CA
Kelseyville Unified School District,Trustee,Sabrina,Andrus,CA
Kelseyville Unified School District,Trustee,Mike,Brown,CA
Kelseyville Unified School District,Trustee,Mary Beth,Mosko,CA
Kelseyville Unified School District,Trustee,Gilbert,Rangel,CA
Sweet Home,Council,Ken,Bronson,OR
Sweet Home,Council,Erin,Barstad,OR
Sweet Home,Council,Chelsea,Augsburger,OR
Konocti Unified School District,Trustee,Zabdy,Neria,CA
Konocti Unified School District,Trustee,Tina,Viramontes,CA
Middletown Unified School District,Trustee,Zoi,Bracisco,CA
Middletown Unified School District,Trustee,Frederic,Lahey,CA
Middletown Unified School District,Trustee,Annette,Lee,CA
Clearlake,Council,David,Claffey,CA
Clearlake,Council,Tara,Downey,CA
Clearlake,Council,Brett,Freeman,CA
Clearlake,Council,Jessica,Hooten,CA
Clearlake,Council,Joyce,Overton,CA
Clearlake,Council,Russell,Perdock,CA
Clearlake,Council,James,Rivera,CA
Rocklin Unified School District,Trustee Area 3,Jen,Brookover,CA
Rocklin Unified School District,Trustee Area 3,Rachelle,Price,CA
Placer Union High School,Trustee Area 5,Patrick,Gale,CA
Roseville Joint Union High School,Trustee Area 1,Bill,Schuetz,CA
Roseville Joint Union High School,Trustee Area 3,Tiffany,Coleman,CA
Roseville Joint Union High School,Trustee Area 3,Joyce,Henry,CA
Roseville Joint Union High School,Trustee Area 5,Debra,Latteri,CA
Dry Creek Joint Elementary School,Governing Board,Patrick,Rams,CA
Dry Creek Joint Elementary School,Governing Board,David,Corbridge,CA
Dry Creek Joint Elementary School,Governing Board,Scott,Otsuka,CA
Dry Creek Joint Elementary School,Governing Board,Ryan,Haynes,CA
Roseville City School District,Trustee Area 1,Holly,Cuthbertson,CA
Roseville City School District,Trustee Area 5,Jonathan,Zachreson,CA
Roseville City School District,Trustee Area 5,Julie,Constant,CA
Roseville City School District,Trustee Area 5,Cassie,Lin,CA
Auburn,Council,Alice,Calvillo,CA
Auburn,Council,Michelle,Sierra-Sammons,CA
Auburn,Council,Kelley,Davis,CA
Rocklin,Council,Greg,Janda,CA
Rocklin,Council,Matthew,Oliver,CA
Lincoln,Council D3,Anthony,Bersamin,CA
Lincoln,Council D3,John,Reedy,CA
Lincoln,Council D4,Richard,Pearl,CA
Roseville,Council D5,Karen,Alvord,CA
Roseville,Council D5,Nick,Busse,CA
Roseville,Council D5,Pete,Constant,CA
Roseville,Council D5,John,Freitas,CA
Roseville,Council D5,Marcus,Ledergerber,CA
Roseville,Council D5,Murial,Moore,CA
Roseville,Council D5,David,Powell,CA
South Places Utility,Director W1,Steve,Makis,CA
Truckee Donner Public Utility,Director,Barney,Dewey,CA
Truckee Donner Public Utility,Director,Jeff,Bender,CA
Truckee Donner Public Utility,Director,Steve,Randall,CA
Truckee Donner Public Utility,Director,Courtney,Murrell,CA
Truckee Donner Public Utility,Director,Mark,Hydar,CA
Truckee Donner Public Utility,Director,Dow,Costa,CA
Truckee Donner Public Utility,Director,Cristobal,Martinez,CA
Placer County Water Agency,Director Div 5,Joshua,Alpine,CA
Placer County Water Agency,Director Div 5,Michael,Greene,CA
Chico Unified School Board,Trustee Area 2,Gayle,Olsen,CA
Chico Unified School Board,Trustee Area 3,Teisha,Hase,CA
Chico Unified School Board,Trustee Area 3,Michele,Cooper,CA
Paradise,Council,Heidi,Lange,CA
Paradise,Council,Steve,Culleton,CA
Paradise,Council,Colleen,Corners,CA
Paradise,Council,Greg,Bolin,CA
Los Banos School,Trustee Area 4,Luis,Castro,CA
Merced City School,Trustee Area 4,Birdi,Olivarez-Kidwell,CA
Merced,Council D5,Alex,Carrillo,CA
Winton Water & Sanitary,Director,William,Glaser,CA
Winton Water & SanitaryWinton Water & Sanitary,Director,Gladys,Flores,CA
Hudson County,County Surrogate,Tilo,Rivas,NJ
Hudson County,County Surrogate,Juliana,Lombard,NJ
Bloomingdale,Council,John,Graziano,NJ
Bloomingdale,Council,Jeniffer,Hagin,NJ
Bloomingdale,Council,Evelyn,Schubert,NJ
Bloomingdale,Council,Daniel,Hawkins,NJ
Mercer County,Board of Commissioner,Samuel,Frisby,NJ
Mercer County,Board of Commissioner,Kristin,McLaughlin,NJ
Mercer County,Board of Commissioner,Terrance,Stokes,NJ
Mercer County,Board of Commissioner,Andrew,Curcio,NJ
Mercer County,Board of Commissioner,Pedro,Reyes,NJ
Mercer County,Board of Commissioner,Denise,Turner,NJ
Trenton,Council South Ward,Damian,Malave,NJ
Trenton,Council South Ward,Evangeline,Ugorji,NJ
Trenton,Council South Ward,Jenna,Figueroa Kettenburg,NJ
Trenton,Council West Ward,Mary,Horne,NJ
Glassboro Borough School District,Board Member,Andy,Savicky,NJ
Hopewell Township,Township Committee,Urmila,Purandare,NJ
Hopewell Township,Township Committee,Bob,Zansitis,NJ
Glassboro Borough School District,Board Member,Stephen,Kudless,NJ
Glassboro Borough School District,Board Member,Ryan,Hughes,NJ
Glassboro Borough School District,Board Member,Lori,Demster,NJ
Glassboro Borough School District,Board Member,Mary,Cedrone,NJ
Glassboro Borough School District,Board Member,Antoine,Sabb,NJ
Glassboro Borough School District,Board Member,Natasha,Briggs,NJ
Glassboro Borough School District,Board Member,Kathleen,Frangos,NJ
Brigantine,Council W4,Richard,Delucry,NJ
Brigantine,Council W4,Mark,Virgilio,NJ
Hammonton,Council,Joseph,Caruso,NJ
Hammonton,Council,Renee,Rdio,NJ
Hammonton,Council,Enrico,Sepe,NJ
Hammonton,Council,Steve,Furgione,NJ
Hammonton,Council,Jimmy,Matro,NJ
Hammonton,Council,Sam,Rudio,NJ
Northfield,Council W1,Joan,Brennan,NJ
Northfield,Council W1,Brian,Smith,NJ
Northfield,Council W2,Barbara Anne,Madden,NJ
Northfield,Council W2,Carolyn,Bucci,NJ
Atlantic City School District,Board Member,Shay,Steele,NJ
Atlantic City School District,Board Member,Ruth,Byard,NJ
Atlantic City School District,Board Member,Donnell,Holland,NJ
Atlantic City School District,Board Member,Ronald,Bailey,NJ
Atlantic City School District,Board Member,Torres,Mayfield,NJ
Atlantic City School District,Board Member,Emteaj,Hossain,NJ
Atlantic City School District,Board Member,Geoffrey,Dorsey,NJ
Clearlake,Council,Mary,Wilson,CA
Bennington,Justice Of The Peace,Gerald,Albert,VT
Tuolumne County,County Supervisor D1,Michael,Holland,CA
Tuolumne County,County Supervisor D1,Mark,Plummer,CA
Hollister,Mayor,Mia,Casey,CA
Hollister,Mayor,Roxanne,Stephens,CA
Hollister,Council D1,Rick,Perez,CA
Brattleboro,Justice Of The Peace,Martha,Healey-Nelson,VT
Brattleboro,Justice Of The Peace,Robert,Oeser,VT
Atlantic City School District,Board Member,Andra,Williams,NJ
Egg Harbor Township School Board,Board Member,Barbara,Szilagyi,NJ
Egg Harbor Township School Board,Board Member,Lori,Lenzi,NJ
Egg Harbor Township School Board,Board Member,Lynnette,Coates,NJ
Egg Harbor Township School Board,Board Member,Regina,Bongiorno,NJ
Egg Harbor Township School Board,Board Member,Juanita,Hyman,NJ
Egg Harbor Township School Board,Board Member,Chad,Byers,NJ
Egg Harbor Township School Board,Board Member,Terre,Alabarda,NJ
Galloway Township School Bord,Board Member,Alexa,Beshara-Blauth,NJ
Galloway Township School Bord,Board Member,Madeline,Avery,NJ
Galloway Township School Bord,Board Member,Richard,Dase,NJ
Galloway Township School Bord,Board Member,Nathan,Hollander,NJ
Galloway Township School Bord,Board Member,Richard,Nuzzolo,NJ
Hamilton Township School Board,Board Member,Beverly,Poretto,NJ
Hamilton Township School Board,Board Member,Harry,Rogers,NJ
Hamilton Township School Board,Board Member,Shawn,Ankrah,NJ
Hamilton Township School Board,Board Member,Laura,Batchelor,NJ
Hammonton School Board,Board Member,Kelly,Donio,NJ
Hammonton School Board,Board Member,Luke,Coia,NJ
Hammonton School Board,Board Member,Shawn,Mccloud,NJ
Hammonton School Board,Board Member,Christine,Scola,NJ
Pleasantville School Board,Board Member,Charmaine,Jones-Akins,NJ
Pleasantville School Board,Board Member,Doris,Rowell,NJ
Pleasantville School Board,Board Member,Thea,Waters,NJ
Pleasantville School Board,Board Member,Sharnell,Morgan,NJ
Pleasantville School Board,Board Member,Cassandra,Clements,NJ
Shasta County Board of Education,Trustee Area 2,Jessica,French,CA
Anderson Union High School,Trustee Area 5,Alicia,Ramirez,CA
Anderson Union High School,Trustee Area 5,Julia,Rinauro,CA
Shasta County,Supervisor D3,Corkey,Harmon,CA
Anderson,Council,Darin,Hale,CA
Anderson,Council,Susie,Baugh,CA
San Rafael,Mayor,Kate,Colin,CA
Tiburon,Council,Holli,Their,CA
Tiburon,Council,Chuck,Hornbrook,CA
Tiburon,Council,Andrew,Thompson,CA
Tiburon,Council,Isaac,Nikfar,CA
Shasta Lake,Council,Toni,Coates,CA
Shasta Lake,Council,Greg,Watkins,CA
Shasta Lake,Council,Janice,Powell,CA
MI,USS,Joseph,Solis-Mullen,MI
MI,USS,Dave,Stein,MI
MI,USS,Douglas,Marsh,MI
MI,USS,Doug,Dern,MI
MI,USC D6,Bill,Krebaum,MI
MI,USC D6,Clyde,Shabazz,MI
MI,USC D12,Brenda,Sanders,MI
MI,USC D12,Gary,Walkowicz,MI
MI,USC D13,Chris,Clark,MI
MI,USC D13,Chris,Dardzinski,MI
MI,USC D13,Simone,Coleman,MI
MI,SH D2,Mark,DaSacco,MI
MI,SH D3,Larry,Betts,MI
MI,SH D7,Linda,Rayburn,MI
MI,SH D8,Logan,Ausherman,MI
MI,SH D16,Linda,Green-Harris,MI
MI,SH D23,Christina,Marudas,MI
MI,State Board of Education,Theodore,Jones,MI
MI,State Board of Education,Adam,Zemke,MI
MI,State Board of Education,Tom,McMillin,MI
MI,State Board of Education,Nikki,Snyder,MI
MI,State Board of Education,Scotty,Boman,MI
MI,State Board of Education,Ted,Gerrard,MI
MI,State Board of Education,Christine,Schwartz,MI
MI,State Board of Education,Mary,Hering,MI
University Of Michigan,Board Of Regents,Denise,Ilitch,MI
University Of Michigan,Board Of Regents,Shauna,Diggs,MI
University Of Michigan,Board Of Regents,Carl,Meyers,MI
University Of Michigan,Board Of Regents,Sevag,Vartanian,MI
University Of Michigan,Board Of Regents,Andrew,Chadderdon,MI
University Of Michigan,Board Of Regents,Donna,Oetman,MI
Michigan State University,Board Of Trustees,Rebecca,Bahae-Cook,MI
Michigan State University,Board Of Trustees,Thomas,Stallworth,MI
Michigan State University,Board Of Trustees,Mike,Balow,MI
Michigan State University,Board Of Trustees,Julie,Maday,MI
Michigan State University,Board Of Trustees,Grant,Baker,MI
Michigan State University,Board Of Trustees,John,Sanger,MI
Michigan State University,Board Of Trustees,John,La Pietra,MI
Wayne State University,Board Of Governors,Rasha,Demashkieh,MI
Wayne State University,Board Of Governors,Mark,Gaffney,MI
Wayne State University,Board Of Governors,Michael,Busuito,MI
Wayne State University,Board Of Governors,Sunny,Reddy,MI
Wayne State University,Board Of Governors,Farid,Ishac,MI
Wayne State University,Board Of Governors,William,Mohr,MI
Wayne State University,Board Of Governors,Sami,Makhoul,MI
Wayne State University,Board Of Governors,Suzanne,Roehrig,MI
Wayne State University,Board Of Governors,Kathleen,Oakford,MI
Wayne County,Prosecuting Attorney,Kym,Worthy,MI
Wayne County,Prosecuting Attorney,Kerry,Morgan,MI
Wayne County,County Clerk,Joseph,LeBlanc,MI
Wayne County,County Commissioner D5,Stephen,Boyle,MI
Wayne County,County Commissioner D8,David,Knezek,MI
Wayne County,County Commissioner D8,Marc,Sosnowski,MI
Wayne County,County Commissioner D14,Alex,Garza,MI
Wayne County,County Commissioner D14,Wesley,Crouse,MI
Wayne County,County Commissioner D14,Timothy,Long,MI
Wayne County,County Commissioner D15,Joseph,Palamara,MI
Wayne County,County Commissioner D15,Collin,Fitzgerald,MI
Supervisor,Redford Township,John,Keenan,MI
Trustee,Canton Township,Tammy,Haggerty,MI
Trustee,Grosse Ile Township,Mark,Mills,MI
Claremont,Council D1,Rachel,Forester,CA
Claremont,Council D1,Corey,Calaycay,CA
Culver,Council,Jeannine,Stehlin,CA
El Segundo,Council,Lance,Giroux,CA
El Segundo,Council,Carol,Pirsztuk,CA
El Segundo,Council,Michelle,Keldorf,CA
El Segundo,Council,Chris,Eidem,CA
El Segundo,Council,Drew,Boyles,CA
El Segundo,Council,John,Pickhaver,CA
Glendora,Council D3,Dustin,Snyder,CA
Glendora,Council D3,Jenny,Chan,CA
Hawthorne,Council,Moe,Awadallah,CA
Hawthorne,Council,Angie,English,CA
Glendora,Council D3,Shaunna,Elias,CA
Glendora,Council D3,Erica,Lndmann,CA
Hawthorne,Council,Dayna,Hunter-Williams,CA
Hawthorne,Council,Faye,Johnson,CA
Hawthorne,Mayor,Luciano,Aguilar,CA
Hawthorne,Mayor,Alex,Vargas,CA
Hawthorne,Mayor,L. David,Patterson,CA
Hawthorne,Mayor,Leithelle,Williams,CA
Hermosa Beach,Council,Brian,Sheil,CA
Hermosa Beach,Council,Elka,Worner,CA
Hermosa Beach,Council,Michael,Keegan,CA
Hermosa Beach,Council,Michael,Detoy,CA
Hermosa Beach,Council,Janis,Lange,CA
Hermosa Beach,City Treasurer,Karen,Nowick,CA
Hermosa Beach,City Treasurer,David,Pedersen,CA
Inglewood,Council D4,Leslie,Jones,CA
Inglewood,Council D4,Carlos,Zurita,CA
Trustee,Plymouth Township,Sandy,Groth,MI
Lincoln Park,Council,Tracy,Duprey,MI
Lincoln Park,Council,Eulis,Jones,MI
Allen Park Public Schools,Board Member,Sarah,Filipiak,MI
Allen Park Public Schools,Board Member,Laura,Luecke,MI
Allen Park Public Schools,Board Member,Kyle,Waligora,MI
Allen Park Public Schools,Board Member,Jennifer,Warren,MI
Crestwood School District,Board Member,Hassan,Issa,MI
Crestwood School District,Board Member,Najah,Chami-Jannoun,MI
Dearborn Public Schools,Board Member,Jamal,Aljahmi,MI
Dearborn Public Schools,Board Member,Silvio,Davis,MI
Dearborn Public Schools,Board Member,Steve,Durant,MI
Dearborn Public Schools,Board Member,Robbin,Makled,MI
Dearborn Public Schools,Board Member,Mohammad,Mubarak,MI
Dearborn Public Schools,Board Member,Nasir,Sobh,MI
Dearborn Public Schools,Board Member,Mark,Trzeciak,MI
Dearborn Public Schools,Board Member,Jackson,Wagner,MI
Dearborn Public Schools,Board Member,Amer,Zahr,MI
Dearborn Heights School,Board Member D7,Mandy,Diroff,MI
Dearborn Heights School,Board Member D7,Latanya,Gater,MI
Dearborn Heights School,Board Member D7,Tawnya,Sterlini,MI
Dearborn Heights School,Board Member D7,Alyse,Stevanovic,MI
Dearborn Heights School,Board Member D7,Derek,Wall,MI
Detroit Public Schools,Board Member,Monique,Bryant,MI
Detroit Public Schools,Board Member,Sherisse,Butler,MI
Detroit Public Schools,Board Member,Richard,Clement,MI
Detroit Public Schools,Board Member,Nicole,Conaway,MI
Detroit Public Schools,Board Member,Sherry,Gay-Dagnogo,MI
Detroit Public Schools,Board Member,Victor,Gibson,MI
Detroit Public Schools,Board Member,Marie,Hill-Nixon,MI
Detroit Public Schools,Board Member,Christopher,Johnson,MI
Detroit Public Schools,Board Member,Toson,Knight,MI
Detroit Public Schools,Board Member,Eugene,Lewis,MI
Detroit Public Schools,Board Member,Tabrian,Joe,MI
Detroit Public Schools,Board Member,Jason,Malone,MI
Detroit Public Schools,Board Member,Aliya,Moore,MI
Detroit Public Schools,Board Member,Jen,Nixon,MI
Detroit Public Schools,Board Member,Faustine,Onwuneme,MI
Detroit Public Schools,Board Member,Benjamin,Royal,MI
Detroit Public Schools,Board Member,Ida,Short,MI
Detroit Public Schools,Board Member,R. Amir,Short,MI
Detroit Public Schools,Board Member,Tawanna,Simpson,MI
Detroit Public Schools,Board Member,Ken,Snapp,MI
Detroit Public Schools,Board Member,Jeremiah,Steen,MI
Detroit Public Schools,Board Member,Boyd,White,MI
Grosse Pointe Public,Board Member,Terry,Collins,MI
Grosse Pointe Public,Board Member,Clint,Derringer,MI
Grosse Pointe Public,Board Member,Melissa,Fradenburg,MI
Grosse Pointe Public,Board Member,Diana,Gellci,MI
Grosse Pointe Public,Board Member,Kate,Hopper,MI
Grosse Pointe Public,Board Member,Laura,Hull,MI
Grosse Pointe Public,Board Member,Timothy,Klepp,MI
Grosse Pointe Public,Board Member,Heath,Roberts,MI
Grosse Pointe Public,Board Member,Colleen,Worden,MI
Hamtramck Public Schools,Board Member,Jihan,Aiyash,MI
Hamtramck Public Schools,Board Member,Mohamed,Algehaim,MI
Hamtramck Public Schools,Board Member,Philip,Garbacz,MI
Hamtramck Public Schools,Board Member,Joseph,Kochut,MI
Hamtramck Public Schools,Board Member,Linda,Wolyniec,MI
Harper Woods School District,Board Member,David,Calus,MI
Harper Woods School District,Board Member,Ramona,Dunn,MI
Harper Woods School District,Board Member,Diana,Nimmons,MI
Harper Woods School District,Board Member,Stacey,White,MI
Lincoln Park Public Schools,Board Member,Shannon,Akers,MI
Lincoln Park Public Schools,Board Member,Kathy,Carter,MI
Lincoln Park Public Schools,Board Member,Annie,Kowalski,MI
Livonia Public Schools,Board Member,Madeline,Acosta,MI
Livonia Public Schools,Board Member,Karen,Bradford,MI
Livonia Public Schools,Board Member,Drew,Buatti,MI
Livonia Public Schools,Board Member,Crystal,Frank,MI
Livonia Public Schools,Board Member,Dave,MacFarland,MI
Livonia Public Schools,Board Member,Pamela,Morgan,MI
Northville Public Schools,Board Member,Philip,DeLoach,MI
Northville Public Schools,Board Member,Ron,Frazier,MI
Northville Public Schools,Board Member,Jena,Mabrey,MI
Northville Public Schools,Board Member,Priya,Marwah,MI
Northville Public Schools,Board Member,Meredith,Maurer,MI
Northville Public Schools,Board Member,Lisa,McIntyre,MI
Northville Public Schools,Board Member,Aric,Tosqui,MI
Plymouth-Canton Community Schools,Board Member,Faize,El-Khali,MI
Plymouth-Canton Community Schools,Board Member,Patti,McCoin,MI
Plymouth-Canton Community Schools,Board Member,Jennifer,Vos,MI
Riverview Community Schools,Board Member,Timothy,Bohr,MI
Riverview Community Schools,Board Member,Andy,Davis,MI
Riverview Community Schools,Board Member,Tim,Kalvans,MI
Riverview Community Schools,Board Member,Sandy,Meeks,MI
Riverview Community Schools,Board Member,Matthew,Toth,MI
Yreka,Council,James,Clair,CA
Yreka,Council,Louise,Gliatto,CA
Yreka,Council,Dawnmarie,Autry,CA
Yreka,Council,Jason,Williams,CA
Amador County Unified School District,Trustee Area 4,Peter,Gale,CA
Bordentown City,Commissioner,Heather,Cheesman,NJ
Bordentown City,Commissioner,James,Heupel,NJ
Sweet Home,Council,Aaron,Hegge,OR
Sweet Home,Council,Elaine,Evans,OR
Sweet Home,Council,Rejeana,Hayes,OR
Sweet Home,Council,David,Lowman,OR
Sweet Home,Council,Brandy,Wysong-Frick,OR
Sweet Home,Council,Jennifer,Victor,OR
Romulus Community Schools,Board Member,Jozet,Channey,MI
Romulus Community Schools,Board Member,Monifa,Kamaal,MI
Romulus Community Schools,Board Member,Judy,Kennard,MI
Romulus Community Schools,Board Member,Debi,Pyles,MI
South Redford School District,Board Member,Misha,Early,MI
South Redford School District,Board Member,Cheryl,Flesher,MI
South Redford School District,Board Member,Laurie,Hicks,MI
South Redford School District,Board Member,Courtney,Latimer,MI
South Redford School District,Board Member,Claudia,Mann,MI
Trenton Public Schools,Board Member,Maegan,Drake,MI
Trenton Public Schools,Board Member,Peter,Poulos,MI
Trenton Public Schools,Board Member,Erin,Santoro,MI
Van Buren Public Schools,Board Member,Victor,DeLibera,MI
Van Buren Public Schools,Board Member,Dionne,Falconer,MI
Van Buren Public Schools,Board Member,Wade,Fields,MI
Van Buren Public Schools,Board Member,Billie Jo,Harsch,MI
Van Buren Public Schools,Board Member,David,Shall,MI
Woodhaven-Brownstown School District,Board Member,Matt,Barnhart,MI
Woodhaven-Brownstown School District,Board Member,Robert,Barrett,MI
Woodhaven-Brownstown School District,Board Member,Mitchelle,Dobek,MI
Woodhaven-Brownstown School District,Board Member,Dustin,Fitzpatrick,MI
Amador County,Supervisor D2,Jack,Mitchell,CA
Urban Flood Safety & Water Quality District,Director Pos. 2,Darcy,Andrews,OR
Urban Flood Safety & Water Quality District,Director Pos. 2,Ariana,Johnson,OR
Urban Flood Safety & Water Quality District,Director Pos. 3,Kayla,Calkins,OR
Urban Flood Safety & Water Quality District,Director Pos. 3,Tanney,Staffenson,OR
Urban Flood Safety & Water Quality District,Director Pos. 4,Rick,Sanders,OR
Urban Flood Safety & Water Quality District,Director Pos. 4,Vena,Rainwater,OR
Urban Flood Safety & Water Quality District,Director Pos. 4,Nic,Lane,OR
Woodhaven-Brownstown School District,Board Member,Rob,Harris,MI
Woodhaven-Brownstown School District,Board Member,Gary,Stanley,MI
Woodhaven-Brownstown School District,Board Member,Joseph,Steffey,MI
Woodhaven-Brownstown School District,Board Member,Eboni,Stewart,MI
Woodhaven-Brownstown School District,Board Member,Bridget,Thorning,MI
Woodhaven-Brownstown School District,Board Member,Eryka,Czopek,MI
Woodhaven-Brownstown School District,Board Member,Sabit,Islam,MI
Wyandotte Public Schools,Board Member,Nick,Beaven-Parshall,MI
Wyandotte Public Schools,Board Member,Andrew,Britton,MI
Wyandotte Public Schools,Board Member,Kathleen,Kane,MI
Wyandotte Public Schools,Board Member,Wendy,LoCicero,MI
OR,"Judge of the Circuit Court, 1st District, Position 11",Matthew,Rowan,OR
OR,"Judge of the Circuit Court, 4th District, Position 38",Jeffrey,Auxier,OR
OR,"Judge of the Circuit Court, 4th District, Position 38",Thomas,Dwyer,OR
OR,"Judge of the Circuit Court, 4th District, Position 38",Jennifer,Myrick,OR
OR,"Judge of the Circuit Court, 4th District, Position 38",Rachel,Philips,OR
OR,"Judge of the Circuit Court, 4th District, Position 38",John,Schlosser,OR
